51378	44.0	89.17
51367	44.17	86.85
51356	44.32	86.05
59109	24.17	115.72
51342	44.88	84.8
51329	44.05	80.85
51243	45.63	84.86
51186	46.67	90.38
51156	46.82	85.75
51133	46.73	83.0
51076	47.73	88.08
59113	24.73	116.72
51060	47.7	86.87
51053	48.05	86.4
59114	24.65	116.17
50979	45.28	130.24
50971	45.78	131.02
50964	45.83	128.8
50946	45.18	124.83
59117	24.28	116.07
51433	43.8	82.52
59106	24.56	115.87
